Sujet,Verbe,PRP
thanh_niên,có_mặt,để
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
màn,diễn,mở_màn
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
quốc_gia,mong_muốn,vì
lực_lượng,nhất_trí,để
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
Ukraine,được,nhằm
Đại_diện,Theo,do
Mục_tiêu,là,nhằm
ông,Phát_biểu,để
nhà_lãnh_đạo,tuyên_bố,vì
Đoàn,đến,dâng
Nhà_nước,Kỷ_niệm,viếng
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
vùng,tập_trung,để
vùng,có,để
vùng,có,để
Nhân_dân,băn_khoăn,để
Đảng,phải,cho
tận_lực,là,bởi
Nhân_dân,để,theo
việc,Phát_huy,đấu_tranh
thách_thức,tin_tưởng,để
Vinh_quang,thuộc,vì
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
màn,diễn,mở_màn
Ukraine,được,nhằm
Đại_diện,Theo,do
Mục_tiêu,là,nhằm
ông,Phát_biểu,để
nhà_lãnh_đạo,tuyên_bố,vì
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
màn,diễn,mở_màn
Đoàn,đến,dâng
Nhà_nước,Kỷ_niệm,viếng
đó,Mở_đầu,do
bạn_bè,trình_bày,do
kỳ_tích,”,để
an_ninh,nguyện,để
lời,tin_tưởng,để
gương_mẫu,Phát_biểu,để
cuộc_sống,bày_tỏ,vì
Thủ_tướng,thay_mặt,do
quân,động_viên,vì
Thủ_tướng,sáng,do
màn,diễn,mở_màn
vùng,tập_trung,để
vùng,có,để
vùng,có,để
Ukraine,được,nhằm
Đại_diện,Theo,do
Mục_tiêu,là,nhằm
ông,Phát_biểu,để
nhà_lãnh_đạo,tuyên_bố,vì
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
người_dân,Phát_biểu,vì
đập_tan,có,vì
kẻ_thù,quyết_thắng,vì
nòng_cốt,góp_phần,để
Bộ_đội,tận_trung,vì
Đây,là,để
nước,lập,vì
khả_năng,Phát_huy,vì
Cảnh_sát,Tiếp,để
nữ,Đáp,để
lực_lượng,Tiếp,vì
thanh_niên,có_mặt,để
Uỷ_viên,tiếp,niệm
Bộ_trưởng,mong_muốn,tham_dự
Đoàn,đến,dâng
Đại_tướng,mong_muốn,để
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
vùng,tập_trung,để
vùng,có,để
vùng,có,để
Nhân_dân,băn_khoăn,để
Đảng,phải,cho
tận_lực,là,bởi
Nhân_dân,để,theo
việc,Phát_huy,đấu_tranh
thách_thức,tin_tưởng,để
Vinh_quang,thuộc,vì
chuyến,Khẳng_định,vì
Đoàn,đến,dâng
Đại_tướng,do,dâng
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
người_dân,Phát_biểu,vì
đập_tan,có,vì
chuyến,Khẳng_định,vì
Đoàn,đến,dâng
Đại_tướng,do,dâng
vùng,tập_trung,để
vùng,có,để
vùng,có,để
quốc_gia,mong_muốn,vì
lực_lượng,nhất_trí,để
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
Đoàn,đến,dâng
Nhà_nước,Kỷ_niệm,viếng
màn,diễn,mở_màn
Đoàn,đến,dâng
Đại_tướng,do,dâng
Đoàn,đến,dâng
Đại_tướng,do,dâng
đó,Mở_đầu,do
bạn_bè,trình_bày,do
kỳ_tích,”,để
an_ninh,nguyện,để
lời,tin_tưởng,để
gương_mẫu,Phát_biểu,để
cuộc_sống,bày_tỏ,vì
Thủ_tướng,thay_mặt,do
quân,động_viên,vì
Thủ_tướng,sáng,do
màn,diễn,mở_màn
đó,Mở_đầu,do
bạn_bè,trình_bày,do
kỳ_tích,”,để
an_ninh,nguyện,để
lời,tin_tưởng,để
gương_mẫu,Phát_biểu,để
cuộc_sống,bày_tỏ,vì
Thủ_tướng,thay_mặt,do
quân,động_viên,vì
Thủ_tướng,sáng,do
màn,diễn,mở_màn
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
màn,diễn,mở_màn
Ukraine,được,nhằm
Đại_diện,Theo,do
Mục_tiêu,là,nhằm
ông,Phát_biểu,để
nhà_lãnh_đạo,tuyên_bố,vì
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
Đoàn,đến,dâng
Nhà_nước,Kỷ_niệm,viếng
kẻ_thù,quyết_thắng,vì
nòng_cốt,góp_phần,để
Bộ_đội,tận_trung,vì
Đây,là,để
nước,lập,vì
khả_năng,Phát_huy,vì
Cảnh_sát,Tiếp,để
nữ,Đáp,để
lực_lượng,Tiếp,vì
thanh_niên,có_mặt,để
người_dân,Phát_biểu,vì
đập_tan,có,vì
Nhân_dân,băn_khoăn,để
Đảng,phải,cho
tận_lực,là,bởi
Nhân_dân,để,theo
việc,Phát_huy,đấu_tranh
thách_thức,tin_tưởng,để
Vinh_quang,thuộc,vì
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
Đại_tướng,Tiếp_tục,niệm
Đại_tướng,trao,tặng
Đoàn,đến,dâng
kẻ_thù,quyết_thắng,vì
nòng_cốt,góp_phần,để
Bộ_đội,tận_trung,vì
Đây,là,để
nước,lập,vì
khả_năng,Phát_huy,vì
Cảnh_sát,Tiếp,để
nữ,Đáp,để
lực_lượng,Tiếp,vì
thanh_niên,có_mặt,để
màn,diễn,mở_màn
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
người_dân,Phát_biểu,vì
đập_tan,có,vì
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
đó,Mở_đầu,do
bạn_bè,trình_bày,do
kỳ_tích,”,để
an_ninh,nguyện,để
lời,tin_tưởng,để
gương_mẫu,Phát_biểu,để
cuộc_sống,bày_tỏ,vì
Thủ_tướng,thay_mặt,do
quân,động_viên,vì
Thủ_tướng,sáng,do
màn,diễn,mở_màn
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
kẻ_thù,quyết_thắng,vì
nòng_cốt,góp_phần,để
Bộ_đội,tận_trung,vì
Đây,là,để
nước,lập,vì
khả_năng,Phát_huy,vì
Cảnh_sát,Tiếp,để
nữ,Đáp,để
lực_lượng,Tiếp,vì
thanh_niên,có_mặt,để
người_dân,Phát_biểu,vì
đập_tan,có,vì
Đoàn,đến,dâng
Nhà_nước,Kỷ_niệm,viếng
Đoàn,đến,dâng
Đại_tướng,do,dâng
Uỷ_viên,tiếp,niệm
Bộ_trưởng,mong_muốn,tham_dự
Đoàn,đến,dâng
Đại_tướng,mong_muốn,để
màn,diễn,mở_màn
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
quốc_gia,mong_muốn,vì
lực_lượng,nhất_trí,để
đó,Mở_đầu,do
bạn_bè,trình_bày,do
kỳ_tích,”,để
an_ninh,nguyện,để
lời,tin_tưởng,để
gương_mẫu,Phát_biểu,để
cuộc_sống,bày_tỏ,vì
Thủ_tướng,thay_mặt,do
quân,động_viên,vì
Thủ_tướng,sáng,do
màn,diễn,mở_màn
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
Đại_tướng,Tiếp_tục,niệm
Đại_tướng,trao,tặng
Đoàn,đến,dâng
màn,diễn,mở_màn
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
chuyến,Khẳng_định,vì
Đoàn,đến,dâng
Đại_tướng,do,dâng
người_dân,Phát_biểu,vì
đập_tan,có,vì
chuyến,Khẳng_định,vì
người_dân,Phát_biểu,vì
đập_tan,có,vì
vùng,tập_trung,để
vùng,có,để
vùng,có,để
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
người_dân,niệm,để
Người_dân,chọn,để
tay,mặc,để
ông,phấn_khởi,để
chị,bỏ,để
nhóm,quyết_định,để
Người_dân,phủ,chờ
lực_lượng,an_toàn,Để
quân,Hoạt_động,nhằm
Lễ,diễn,nhằm
Ukraine,được,nhằm
Đại_diện,Theo,do
Mục_tiêu,là,nhằm
ông,Phát_biểu,để
nhà_lãnh_đạo,tuyên_bố,vì
Đại_tướng,Tiếp_tục,niệm
Đại_tướng,trao,tặng
Đoàn,đến,dâng
vùng,tập_trung,để
vùng,có,để
vùng,có,để
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
Uỷ_viên,tiếp,niệm
Bộ_trưởng,mong_muốn,tham_dự
Đoàn,đến,dâng
Đại_tướng,mong_muốn,để
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
Đoàn,đến,dâng
Đại_tướng,do,dâng
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
màn,diễn,mở_màn
Thượng_tướng,tham_quan,do
Thượng_tướng,Đoàn,do
Đoàn,có,để
ASEAN,hợp_tác,do
đoàn,nhấn_mạnh,để
quốc_gia,mong_muốn,vì
lực_lượng,nhất_trí,để
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
Đại_tướng,Tiếp_tục,niệm
Đại_tướng,trao,tặng
Đoàn,đến,dâng
màn,diễn,mở_màn
Đoàn,đến,dâng
Đại_tướng,do,dâng
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
kẻ_thù,quyết_thắng,vì
nòng_cốt,góp_phần,để
Bộ_đội,tận_trung,vì
Đây,là,để
nước,lập,vì
khả_năng,Phát_huy,vì
Cảnh_sát,Tiếp,để
nữ,Đáp,để
lực_lượng,Tiếp,vì
thanh_niên,có_mặt,để
quốc_gia,mong_muốn,vì
lực_lượng,nhất_trí,để
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
Ukraine,được,nhằm
Đại_diện,Theo,do
Mục_tiêu,là,nhằm
ông,Phát_biểu,để
nhà_lãnh_đạo,tuyên_bố,vì
màn,diễn,mở_màn
Chuyến,được,bởi
Thủ_tướng,dự_kiến,để
Brazil,dự_định,do
bên,cần,để
Chúng_tôi,hy_vọng,nhằm
phái_đoàn,tới,để
điều,muốn,để
nước,cần,để
nước,biết,để
Đại_sứ_quán,thuộc,do
người_dân,được,để
chủ_nghĩa_xã_hội,là,vì
Việt_Nam,cho,để
Nhân_dân,băn_khoăn,để
Đảng,phải,cho
tận_lực,là,bởi
Nhân_dân,để,theo
việc,Phát_huy,đấu_tranh
thách_thức,tin_tưởng,để
Vinh_quang,thuộc,vì
chuyến,Khẳng_định,vì
Đoàn,đến,dâng
Đại_tướng,do,dâng
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
Thủ_tướng,đưa,Để
EC,đề_nghị,phê_chuẩn
phía,đề_nghị,để
ngài,cho,để
bên,Chia_sẻ,để
kẻ_thù,quyết_thắng,vì
nòng_cốt,góp_phần,để
Bộ_đội,tận_trung,vì
Đây,là,để
nước,lập,vì
khả_năng,Phát_huy,vì
Cảnh_sát,Tiếp,để
nữ,Đáp,để
lực_lượng,Tiếp,vì
thanh_niên,có_mặt,để
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
Uỷ_viên,tiếp,niệm
Bộ_trưởng,mong_muốn,tham_dự
Đoàn,đến,dâng
Đại_tướng,mong_muốn,để
chuyến,Khẳng_định,vì
Đại_tướng,Tiếp_tục,niệm
Đại_tướng,trao,tặng
Đoàn,đến,dâng
Đại_tướng,Tiếp_tục,niệm
Đại_tướng,trao,tặng
Đoàn,đến,dâng
Đại_tướng,Tiếp_tục,niệm
Đại_tướng,trao,tặng
Đoàn,đến,dâng
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
Uỷ_viên,tiếp,niệm
Bộ_trưởng,mong_muốn,tham_dự
Đoàn,đến,dâng
Đại_tướng,mong_muốn,để
quốc_gia,mong_muốn,vì
lực_lượng,nhất_trí,để
Đoàn,đến,dâng
Nhà_nước,Kỷ_niệm,viếng
màn,diễn,mở_màn
Đức,cho,nhằm
Đức,Phát_biểu,nhằm
Uỷ_viên,tiếp,niệm
Bộ_trưởng,mong_muốn,tham_dự
Đoàn,đến,dâng
Đại_tướng,mong_muốn,để
ông,quyết_định,làm
người,Hoàn_thành,đóng_góp
ông,được,làm
ông,Hoàn_thành,đóng_góp
người_dân,quay,để
Đại_đoàn,Nghe,để
đó,nhớ,làm
thổ_nhưỡng,có,để
kỷ_niệm,là,để
đóng_góp,Là,vì
hình_ảnh,thể_hiện,để
Uỷ_viên,tiếp,niệm
